"CUE Anexo","Es anexo","Sector","Recibe subvención estatal","Es confesional","Ámbito","Nombre del establecimiento","Domicilio","C. P.","Localidad","Teléfono","Correo electrónico","Ofrece educación primaria","Ofrece educación secundaria","Ofrece educación inicial y/o maternal","Turnos del nivel secundario","Jornada extendida","Idiomas que se enseñan","Artisticas","Biblioteca","Sala o laboratorio de informática","Tiene asociación cooperadora","Dispone de conexión a internet","Tipo de conexión","Origen de electricidad","Es secundaria técnica","Es artística","Es modalidad intercultural bilingüe","Establecimiento creado en 2024","Secciones","Secciones independientes de nivel secundario en 2023","Secciones múltiples de nivel secundario en 2023","Matrícula","Matrícula varones de nivel secundario en 2023","Egresados de nivel secundario en 2022","Egresados varones de nivel secundario en 2022","Latitud","Longitud","Precisión del georreferenciamiento","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio"
"140297704",1,1,2,2,2,"I.P.E.T. y M. Nº 63 REPUBLICA DE ITALIA ANEXO CACHI YACO","CALLE PUBLICA   CACHI YACO","X5209","CACHI YACO","03522 497931BAS","c.b.u._cachiyaco@hotmail.com",2,1,2,"Tarde",2,"Inglés","Música",2,2,2,2,"","Red Pública",2,2,2,2,2,0,2,57,20,6,1,-29.61635494,-64.06243638,"PRECISA","14","Córdoba","14154","Sobremonte","141540103"
"140540000",2,1,2,2,2,"I.P.E.M. N° 366","DOMINGO FAUSTINO SARMIENTO    GUTEMBERG","x5249","GUTEMBERG","03522 4227725","ipem366gutenberg@hotmail.com",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Satelital","Red Pública",2,2,2,2,6,6,0,113,59,14,8,-29.72179675,-63.51634205,"APROXIMADA","14","Córdoba","14112","Río Seco","141120207"
"140540001",1,1,2,2,2,"I.P.E.M. N° 366 ANEXO VILLA CANDELARIA","CALLE PUBLICA S/N°   VILLA CANDELARIA","X5249","VILLA CANDELARIA","03522 422145/15648779","ipemvillacandelaria@hotmail.com; ipem_villacandelaria@hotmail.com",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,2,"","Red Pública",2,2,2,2,6,6,0,82,47,7,1,-29.810663,-63.353024,"APROXIMADA","14","Córdoba","14112","Río Seco","141120204"
"140297700",2,1,2,2,1,"I.P.E.T. y M. Nº 63 REPUBLICA DE ITALIA","SARMIENTO 84 CENTRO SAN FRANCISCO DEL CHAÑAR","X5209","SAN FRANCISCO DEL CHAÑAR","03522 497931","ipem-63@hotmail.com",2,1,2,"Doble",1,"","Música, Artísticas Visuales/Plástica, Teatro",1,1,1,1,"Satelital","Red Pública",1,2,2,2,15,15,0,365,183,39,15,-29.78825,-63.9425,"APROXIMADA","14","Córdoba","14154","Sobremonte","141540211"
"140468200",2,1,2,2,2,"I.P.E.T. Nº 308","Pbro.Paulino D.de Jesus Vaca Vallejo 78  LUCIO V.MANSILLA","X5216","LUCIO V. MANSILLA","03521 15406090","ipem308@yahoo.com.ar",2,1,2,"Mañana, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",2,1,1,1,"Cable Modem","Red Pública",1,2,2,2,7,7,0,114,60,7,2,-29.80485286,-64.70974135,"PRECISA","14","Córdoba","14175","Tulumba","141750110"
"140569600",2,1,2,2,1,"ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION","CALLE PUBLICA S/N   OESTE VILLA DE MARIA","X5248","VILLA DE MARIA","0351 152665318(COORD)","",2,1,2,"Doble",1,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"ADSL","Red Pública",2,2,2,2,4,4,0,118,64,0,0,-29.90388209,-63.72087039,"APROXIMADA","14","Córdoba","14112","Río Seco","141120111"
"140394800",2,1,2,2,1,"I.P.E.A. y M. Nº 224 LEOPOLDO LUGONES","RECONQUISTA S/N   Villa MARIA de RIO SECO","X5248","VILLA DE MARIA","03522 426004","ipemrioseco@gmail.com",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Cable Modem","Red Pública",1,2,2,2,27,25,2,594,315,113,45,-29.907307,-63.726812,"PRECISA","14","Córdoba","14112","Río Seco","141120115"
"140251202",1,1,2,2,2,"I.P.E.M. N° 273 MANUEL BELGRANO ANEXO GUANACO MUERTO","RUTA A - KM 175    GUANACO MUERTO","X5280","GUANACO MUERTO","03549 426765","cbcoguancomuerto@yahoo.com.ar; EE0310028@me.cba.gov.ar",2,1,2,"Mañana, Doble",2,"Inglés","Música, Danzas, Teatro",2,2,1,1,"Satelital","Red Pública",2,2,2,2,6,6,0,84,41,3,2,-30.47398,-65.06385,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280103"
"140541100",2,1,2,2,2,"I.P.E.M. Nº 369 DR. RENE FAVALORO","ONCATIVO    SAN JOSE DE LAS SALINAS","X5216","SAN JOSE DE LAS SALINAS","0 0","ipem369@hotmail.com",2,1,2,"Mañana, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Cable Modem/ Satelital/ Otro tipo","Red Pública",2,2,2,2,6,6,0,114,63,10,5,-30.00759026,-64.62400849,"APROXIMADA","14","Córdoba","14175","Tulumba","141750111"
"140542001",1,1,2,2,2,"I.P.E.M. Nº 371 ANEXO SANTA ELENA","PUBLICA   SANTA ELENA POR RUTA PROVINCIAL","X5246","SANTA ELENA","0 0","ipemsantaelena@gmail.com",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Cable Modem","Red Pública",2,2,2,2,6,6,0,72,31,4,1,-30.11528,-63.844099,"PRECISA","14","Córdoba","14112","Río Seco","141120304"
